title,filename,tm,edcs,uri,doi,edr,phi,epicum,term_key_0,term_ref_0,term_text_0,term_cert_0,0,0,term_key_1,term_ref_1,term_text_1
I.Sicily inscription 0077,isic0077,644812,,http://sicily.classics.ox.ac.uk/inscription/isic0077,10.5281/zenodo.4384242,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0078,isic0078,644813,,http://sicily.classics.ox.ac.uk/inscription/isic0078,10.5281/zenodo.4384244,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication (?),,,,,,
Epitaph of Crispia Salvia,isic0079,491382,3000420,http://sicily.classics.ox.ac.uk/inscription/isic0079,10.5281/zenodo.4334051,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Funerary inscription for an Abbot (?),isic0080,492395,45600021,http://sicily.classics.ox.ac.uk/inscription/isic0080,10.5281/zenodo.4334053,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0081,isic0081,644814,,http://sicily.classics.ox.ac.uk/inscription/isic0081,10.5281/zenodo.4334057,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0082,isic0082,491383,3000421,http://sicily.classics.ox.ac.uk/inscription/isic0082,10.5281/zenodo.4334059,,,,terminus,http://www.eagle-network.eu/voc/typeins/lod/96.html,terminus,,,,,,
"
                    Funerary inscription for Iulia Florentina
                ",isic0083,175827,21900434,http://sicily.classics.ox.ac.uk/inscription/isic0083,10.5281/zenodo.4334063,074188,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0084,isic0084,491827,22100031,http://sicily.classics.ox.ac.uk/inscription/isic0084,10.5281/zenodo.4334067,137600,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0085,isic0085,285208,22100038,http://sicily.classics.ox.ac.uk/inscription/isic0085,10.5281/zenodo.4334071,127000,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0086,isic0086,285019,22100039,http://sicily.classics.ox.ac.uk/inscription/isic0086,10.5281/zenodo.4334075,109642,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication (?),,,,,,
